permutation,order_01,order_02,order_03,order_04,order_05,order_06,order_07,order_08,order_09,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24
19,foliage,blue,light skin,blue flower,neutral 5 (.70 D),cyan,yellow green,moderate red,orange yellow,white 9.5 (.05 D),neutral 3.5 (1.05 D),neutral 6.5 (.44 D),purple,orange,green,neutral 8 (.23 D),bluish green,blue sky,black 2 (1.5 D),red,yellow,dark skin,magenta,purplish blue
20,foliage,black 2 (1.5 D),dark skin,blue,orange yellow,cyan,white 9.5 (.05 D),neutral 3.5 (1.05 D),neutral 8 (.23 D),blue flower,magenta,yellow green,blue sky,moderate red,neutral 6.5 (.44 D),orange,purple,red,light skin,green,yellow,purplish blue,neutral 5 (.70 D),bluish green
21,green,bluish green,red,magenta,foliage,cyan,yellow,light skin,black 2 (1.5 D),blue sky,purplish blue,neutral 8 (.23 D),orange,neutral 6.5 (.44 D),neutral 3.5 (1.05 D),blue flower,moderate red,yellow green,blue,neutral 5 (.70 D),dark skin,purple,white 9.5 (.05 D),orange yellow
22,purplish blue,neutral 8 (.23 D),yellow green,cyan,magenta,neutral 3.5 (1.05 D),neutral 5 (.70 D),moderate red,purple,yellow,light skin,blue flower,blue,orange yellow,white 9.5 (.05 D),bluish green,red,green,foliage,dark skin,black 2 (1.5 D),blue sky,orange,neutral 6.5 (.44 D)
23,foliage,yellow,blue sky,blue flower,black 2 (1.5 D),green,magenta,purple,red,cyan,bluish green,light skin,orange yellow,orange,white 9.5 (.05 D),neutral 6.5 (.44 D),moderate red,neutral 8 (.23 D),yellow green,neutral 3.5 (1.05 D),neutral 5 (.70 D),dark skin,purplish blue,blue
24,red,green,moderate red,dark skin,orange yellow,foliage,neutral 3.5 (1.05 D),white 9.5 (.05 D),bluish green,blue flower,neutral 5 (.70 D),yellow green,blue,black 2 (1.5 D),neutral 6.5 (.44 D),cyan,magenta,orange,light skin,purplish blue,neutral 8 (.23 D),yellow,purple,blue sky
25,purple,orange yellow,green,red,yellow,blue sky,bluish green,neutral 8 (.23 D),white 9.5 (.05 D),light skin,foliage,purplish blue,blue,moderate red,black 2 (1.5 D),yellow green,cyan,neutral 3.5 (1.05 D),neutral 5 (.70 D),orange,magenta,dark skin,neutral 6.5 (.44 D),blue flower
26,neutral 3.5 (1.05 D),blue sky,blue flower,purplish blue,black 2 (1.5 D),bluish green,yellow,light skin,neutral 5 (.70 D),blue,magenta,cyan,orange,white 9.5 (.05 D),red,purple,green,neutral 6.5 (.44 D),yellow green,moderate red,orange yellow,dark skin,foliage,neutral 8 (.23 D)
27,purple,blue,neutral 6.5 (.44 D),yellow green,green,purplish blue,orange yellow,foliage,bluish green,blue flower,orange,red,light skin,neutral 3.5 (1.05 D),blue sky,neutral 8 (.23 D),black 2 (1.5 D),white 9.5 (.05 D),neutral 5 (.70 D),yellow,cyan,moderate red,magenta,dark skin
28,yellow,black 2 (1.5 D),purplish blue,blue sky,yellow green,light skin,foliage,red,purple,magenta,green,orange yellow,bluish green,blue,neutral 5 (.70 D),moderate red,neutral 8 (.23 D),neutral 3.5 (1.05 D),orange,white 9.5 (.05 D),blue flower,neutral 6.5 (.44 D),cyan,dark skin
29,magenta,orange yellow,blue,cyan,neutral 6.5 (.44 D),purplish blue,purple,blue sky,yellow green,neutral 3.5 (1.05 D),white 9.5 (.05 D),light skin,green,blue flower,orange,foliage,dark skin,neutral 5 (.70 D),red,yellow,black 2 (1.5 D),neutral 8 (.23 D),moderate red,bluish green
